user_id,nome,email,data_ultima_compra,numero_compras,ticket_medio,canal_preferido,status
1,Ana Lima,user1@exemplo.com,2025-12-03,5,173.45,push,ativo
2,Daniela Costa,user2@exemplo.com,2025-10-24,16,99.09,push,inativo
3,Paulo Ribeiro,user3@exemplo.com,2025-08-11,2,127.28,email,inativo
4,Leonardo Costa,user4@exemplo.com,2025-09-20,3,147.79,push,inativo
5,Tiago Costa,user5@exemplo.com,2025-12-01,24,155.71,email,ativo
6,Paulo Ferreira,user6@exemplo.com,2025-11-09,14,156.53,email,ativo
7,Paulo Costa,user7@exemplo.com,2025-11-29,23,187.3,email,ativo
8,Mariana Pereira,user8@exemplo.com,2025-08-24,9,93.68,email,inativo
9,Keila Ferreira,user9@exemplo.com,2025-10-08,16,203.1,push,inativo
10,Mariana Almeida,user10@exemplo.com,2025-10-14,16,220.34,email,inativo
11,Nicolas Oliveira,user11@exemplo.com,2025-09-08,15,37.98,push,inativo
12,Paulo Silva,user12@exemplo.com,2025-12-02,3,90.2,push,ativo
13,Igor Pereira,user13@exemplo.com,2025-11-03,25,231.71,email,inativo
14,Gabriel Costa,user14@exemplo.com,2025-10-20,25,50.05,whatsapp,inativo
15,Fernanda Gomes,user15@exemplo.com,2025-10-25,7,73.52,whatsapp,inativo
16,Helena Oliveira,user16@exemplo.com,2025-11-14,2,237.4,email,ativo
17,Julia Gomes,user17@exemplo.com,2025-09-23,6,201.11,email,inativo
18,Ana Almeida,user18@exemplo.com,2025-11-07,0,159.15,push,inativo
19,Fernanda Silva,user19@exemplo.com,2025-11-30,21,72.56,whatsapp,ativo
20,Ana Souza,user20@exemplo.com,2025-09-05,18,43.9,email,inativo
21,Eduardo Lima,user21@exemplo.com,2025-11-09,5,45.51,email,ativo
22,Sofia Silva,user22@exemplo.com,2025-09-05,22,155.86,whatsapp,inativo
23,Fernanda Lima,user23@exemplo.com,2025-10-23,7,191.97,whatsapp,inativo
24,Quezia Lima,user24@exemplo.com,2025-11-19,15,147.09,whatsapp,ativo
25,Bruno Pereira,user25@exemplo.com,2025-09-21,8,180.77,email,inativo
26,Julia Costa,user26@exemplo.com,2025-11-23,20,190.66,email,ativo
27,Quezia Ferreira,user27@exemplo.com,2025-08-20,14,169.28,email,inativo
28,Fernanda Oliveira,user28@exemplo.com,2025-09-11,7,57.45,push,inativo
29,Leonardo Almeida,user29@exemplo.com,2025-11-10,15,138.38,push,ativo
30,Igor Silva,user30@exemplo.com,2025-09-10,22,236.3,push,inativo
31,Bruno Pereira,user31@exemplo.com,2025-10-29,23,135.48,email,inativo
32,Paulo Almeida,user32@exemplo.com,2025-09-02,15,245.36,email,inativo
33,Eduardo Lima,user33@exemplo.com,2025-08-16,23,113.92,email,inativo
34,Nicolas Souza,user34@exemplo.com,2025-10-11,24,109.77,email,inativo
35,Rafael Oliveira,user35@exemplo.com,2025-11-28,20,160.25,email,ativo
36,Quezia Silva,user36@exemplo.com,2025-09-11,19,208.38,push,inativo
37,Julia Almeida,user37@exemplo.com,2025-11-16,21,101.14,push,ativo
38,Julia Souza,user38@exemplo.com,2025-11-05,4,208.98,email,inativo
39,Nicolas Costa,user39@exemplo.com,2025-08-14,20,136.31,email,inativo
40,Olivia Souza,user40@exemplo.com,2025-08-31,19,199.91,email,inativo
41,Daniela Gomes,user41@exemplo.com,2025-09-13,1,239.21,email,inativo
42,Daniela Lima,user42@exemplo.com,2025-11-16,17,84.17,email,ativo
43,Tiago Gomes,user43@exemplo.com,2025-10-06,16,217.98,whatsapp,inativo
44,Fernanda Costa,user44@exemplo.com,2025-09-27,3,106.92,email,inativo
45,Julia Ferreira,user45@exemplo.com,2025-10-12,7,152.2,push,inativo
46,Rafael Oliveira,user46@exemplo.com,2025-09-05,19,61.99,email,inativo
47,Eduardo Ferreira,user47@exemplo.com,2025-11-17,16,143.58,push,ativo
48,Julia Pereira,user48@exemplo.com,2025-10-18,22,136.04,email,inativo
49,Sofia Ribeiro,user49@exemplo.com,2025-12-01,11,102.08,email,ativo
50,Helena Pereira,user50@exemplo.com,2025-12-06,12,48.09,whatsapp,ativo
51,Sofia Oliveira,user51@exemplo.com,2025-11-28,25,177.14,email,ativo
52,Julia Silva,user52@exemplo.com,2025-08-26,16,210.51,push,inativo
53,Leonardo Oliveira,user53@exemplo.com,2025-09-16,2,204.36,whatsapp,inativo
54,Gabriel Almeida,user54@exemplo.com,2025-08-26,18,200.86,email,inativo
55,Nicolas Silva,user55@exemplo.com,2025-09-08,18,249.8,push,inativo
56,Olivia Ribeiro,user56@exemplo.com,2025-10-01,22,169.66,email,inativo
57,Daniela Almeida,user57@exemplo.com,2025-09-28,23,141.39,whatsapp,inativo
58,Ana Gomes,user58@exemplo.com,2025-09-08,18,116.83,email,inativo
59,Bruno Gomes,user59@exemplo.com,2025-10-17,11,163.9,email,inativo
60,Quezia Pereira,user60@exemplo.com,2025-08-31,9,61.05,email,inativo
61,Carlos Silva,user61@exemplo.com,2025-12-07,20,214.27,email,ativo
62,Leonardo Souza,user62@exemplo.com,2025-08-20,21,31.44,push,inativo
63,Igor Oliveira,user63@exemplo.com,2025-08-25,14,43.11,whatsapp,inativo
64,Daniela Ferreira,user64@exemplo.com,2025-08-21,11,210.88,email,inativo
65,Tiago Oliveira,user65@exemplo.com,2025-08-24,20,77.79,email,inativo
66,Nicolas Souza,user66@exemplo.com,2025-10-12,12,178.88,whatsapp,inativo
67,Olivia Costa,user67@exemplo.com,2025-10-05,11,212.63,email,inativo
68,Igor Ribeiro,user68@exemplo.com,2025-11-03,21,53.98,email,inativo
69,Gabriel Oliveira,user69@exemplo.com,2025-10-01,22,72.65,email,inativo
70,Quezia Ferreira,user70@exemplo.com,2025-10-21,15,210.8,email,inativo
71,Nicolas Souza,user71@exemplo.com,2025-09-01,20,126.21,push,inativo
72,Rafael Gomes,user72@exemplo.com,2025-11-12,12,197.07,email,ativo
73,Keila Almeida,user73@exemplo.com,2025-11-03,1,54.47,email,inativo
74,Rafael Silva,user74@exemplo.com,2025-11-26,20,106.19,email,ativo
75,Paulo Oliveira,user75@exemplo.com,2025-09-01,1,115.44,push,inativo
76,Bruno Lima,user76@exemplo.com,2025-09-07,17,26.65,email,inativo
77,Quezia Ribeiro,user77@exemplo.com,2025-09-29,25,109.08,whatsapp,inativo
78,Ana Almeida,user78@exemplo.com,2025-11-20,22,175.99,email,ativo
79,Helena Pereira,user79@exemplo.com,2025-10-04,6,194.73,push,inativo
80,Carlos Silva,user80@exemplo.com,2025-12-04,7,88.57,whatsapp,ativo
81,Sofia Silva,user81@exemplo.com,2025-11-26,19,168.87,email,ativo
82,Quezia Gomes,user82@exemplo.com,2025-10-05,22,209.18,push,inativo
83,Bruno Souza,user83@exemplo.com,2025-11-20,20,35.26,email,ativo
84,Mariana Costa,user84@exemplo.com,2025-11-14,17,20.53,email,ativo
85,Olivia Ribeiro,user85@exemplo.com,2025-11-23,25,212.54,email,ativo
86,Mariana Almeida,user86@exemplo.com,2025-08-11,5,84.76,email,inativo
87,Fernanda Ferreira,user87@exemplo.com,2025-09-10,19,70.19,email,inativo
88,Mariana Costa,user88@exemplo.com,2025-10-25,17,53.08,email,inativo
89,Fernanda Oliveira,user89@exemplo.com,2025-11-03,22,244.27,email,inativo
90,Bruno Lima,user90@exemplo.com,2025-09-08,13,158.43,email,inativo
